"Vorwahl";"Ortsnetzname";"Gemeindename";"Gemeindekennzahl"
"036371";"Schlossvippach";"Markvippach";"16068036"
"036371";"Schlossvippach";"Schlo?vippach";"16068048"
"036371";"Schlossvippach";"Sprotau";"16068052"
"036372";"Kleinneuhausen";"Ellersleben";"16068008"
"036372";"Kleinneuhausen";"Gro?neuhausen";"16068019"
"036372";"Kleinneuhausen";"Kleinbrembach";"16068031"
"036372";"Kleinneuhausen";"Kleinneuhausen";"16068033"
"036372";"Kleinneuhausen";"Olbersleben";"16068038"
"036372";"Kleinneuhausen";"Vogelsberg";"16068056"
"036373";"Buttstadt";"Buttstadt, Stadt";"16068006"
"036373";"Buttstadt";"E?leben-Teutleben";"16068011"
"036373";"Buttstadt";"Guthmannshausen";"16068023"
"036373";"Buttstadt";"Herrengosserstedt";"15084220"
"036373";"Buttstadt";"Mannstedt";"16068035"
"036373";"Buttstadt";"Niederrei?en";"16071062"
"036373";"Buttstadt";"Oberrei?en";"16071068"
"036373";"Buttstadt";"Rastenberg, Stadt";"16068042"
"036373";"Buttstadt";"Rudersdorf";"16068046"
"036373";"Buttstadt";"Tromsdorf";"15084510"
"036374";"Weissensee";"Gunstedt";"16068022"
"036374";"Weissensee";"Herrnschwende";"16068027"
"036374";"Weissensee";"Riethgen";"16068043"
"036374";"Weissensee";"Wei?ensee, Stadt";"16068058"
"036375";"Kindelbruck";"Bilzingsleben";"16068004"
"036375";"Kindelbruck";"Buchel";"16068005"
"036375";"Kindelbruck";"Frommstedt";"16068012"
"036375";"Kindelbruck";"Griefstedt";"16068015"
"036375";"Kindelbruck";"Kannawurf";"16068028"
"036375";"Kindelbruck";"Kindelbruck, Stadt";"16068029"
"036375";"Kindelbruck";"Riethgen";"16068043"
"036376";"Straussfurt";"Gangloffsommern";"16068013"
"036376";"Straussfurt";"Henschleben";"16068026"
"036376";"Straussfurt";"Schwerstedt";"16068049"
"036376";"Straussfurt";"Strau?furt";"16068053"
"036376";"Straussfurt";"Wei?ensee, Stadt";"16068058"
"036376";"Straussfurt";"Werningshausen";"16068059"
"036376";"Straussfurt";"Wundersleben";"16068062"
"036377";"Rastenberg";"Billroda";"15084040"
"036377";"Rastenberg";"Buttstadt, Stadt";"16068006"
"036377";"Rastenberg";"E?leben-Teutleben";"16068011"
"036377";"Rastenberg";"Hardisleben";"16068024"
"036377";"Rastenberg";"Lossa";"15084305"
"036377";"Rastenberg";"Rastenberg, Stadt";"16068042"
"036378";"Ostramondra";"Ostramondra";"16068041"
"036378";"Ostramondra";"Rastenberg, Stadt";"16068042"
"036379";"Holzengel";"Gro?enehrich, Stadt";"16065084"
"036379";"Holzengel";"Niederbosa";"16065048"
"036379";"Holzengel";"Oberbosa";"16065051"
"036379";"Holzengel";"Trebra";"16065075"
"03641";"Jena";"Bucha";"16074008"
"03641";"Jena";"Golmsdorf";"16074026"
"03641";"Jena";"Gro?lobichau";"16074032"
"03641";"Jena";"Jena, Stadt";"16053000"
"03641";"Jena";"Jenalobnitz";"16074043"
"03641";"Jena";"Lehesten";"16074051"
"03641";"Jena";"Neuengonna";"16074063"
"03641";"Jena";"Rothenstein";"16074079"
"03641";"Jena";"Schloben";"16074085"
"03641";"Jena";"Sulza";"16074095"
"03641";"Jena";"Zollnitz";"16074114"
"036421";"Camburg";"Abtlobnitz";"15084005"
"036421";"Camburg";"Camburg, Stadt";"16074011"
"036421";"Camburg";"Frauenprie?nitz";"16074019"
"036421";"Camburg";"Leislau";"15084290"
"036421";"Camburg";"Molau";"15084340"
"036421";"Camburg";"Saaleplatte";"16071099"
"036421";"Camburg";"Schmiedehausen";"16071083"
"036421";"Camburg";"Thierschneck";"16074099"
"036421";"Camburg";"Wichmar";"16074112"
"036422";"Reinstadt Thur";"Blankenhain, Stadt";"16071008"
"036422";"Reinstadt Thur";"Gumperda";"16074034"
"036422";"Reinstadt Thur";"Milda";"16074057"
"036422";"Reinstadt Thur";"Reinstadt";"16074076"
"036423";"Orlamunde";"Eichenberg";"16074016"
"036423";"Orlamunde";"Freienorla";"16074021"
"036423";"Orlamunde";"Gro?eutersdorf";"16074031"
"036423";"Orlamunde";"Orlamunde, Stadt";"16074065"
"036423";"Orlamunde";"Reinstadt";"16074076"
"036424";"Kahla Thur";"Altenberga";"16074002"
"036424";"Kahla Thur";"Bibra";"16074004"
"036424";"Kahla Thur";"Eichenberg";"16074016"
"036424";"Kahla Thur";"Gro?eutersdorf";"16074031"
"036424";"Kahla Thur";"Gro?purschutz";"16074033"
"036424";"Kahla Thur";"Hummelshain";"16074042"
"036424";"Kahla Thur";"Kahla, Stadt";"16074044"
"036424";"Kahla Thur";"Kleineutersdorf";"16074048"
"036424";"Kahla Thur";"Lindig";"16074052"
"036424";"Kahla Thur";"Milda";"16074057"
"036424";"Kahla Thur";"Oberbodnitz";"16074064"
"036424";"Kahla Thur";"Rothenstein";"16074079"
"036424";"Kahla Thur";"Schops";"16074087"
"036424";"Kahla Thur";"Seitenroda";"16074089"
"036424";"Kahla Thur";"Unterbodnitz";"16074104"
"036425";"Isserstedt";"Gro?schwabhausen";"16071033"
"036425";"Isserstedt";"Jena, Stadt";"16053000"
"036425";"Isserstedt";"Kapellendorf";"16071037"
"036425";"Isserstedt";"Lehesten";"16074051"
"036425";"Isserstedt";"Saaleplatte";"16071099"
"036426";"Ottendorf b Stadtroda";"Bremsnitz";"16074007"
"036426";"Ottendorf b Stadtroda";"Eineborn";"16074017"
"036426";"Ottendorf b Stadtroda";"Karlsdorf";"16074045"
"036426";"Ottendorf b Stadtroda";"Kleinebersdorf";"16074047"
"036426";"Ottendorf b Stadtroda";"Lippersdorf-Erdmannsdorf";"16074053"
"036426";"Ottendorf b Stadtroda";"Ottendorf";"16074066"
"036426";"Ottendorf b Stadtroda";"Rattelsdorf";"16074071"
"036426";"Ottendorf b Stadtroda";"Renthendorf";"16074077"
"036426";"Ottendorf b Stadtroda";"Tautendorf";"16074097"
"036426";"Ottendorf b Stadtroda";"Wei?bach";"16074108"
"036427";"Dornburg Saale";"Dornburg/Saale, Stadt";"16074013"
"036427";"Dornburg Saale";"Dorndorf-Steudnitz";"16074014"
"036427";"Dornburg Saale";"Golmsdorf";"16074026"
"036427";"Dornburg Saale";"Hainichen";"16074036"
"036427";"Dornburg Saale";"Loberschutz";"16074054"
"036427";"Dornburg Saale";"Neuengonna";"16074063"
"036427";"Dornburg Saale";"Tautenburg";"16074096"
"036427";"Dornburg Saale";"Zimmern";"16074113"
"036428";"Stadtroda";"Bollberg";"16074006"
"036428";"Stadtroda";"Geisenhain";"16074022"
"036428";"Stadtroda";"Gneus";"16074024"
"036428";"Stadtroda";"Gro?bockedra";"16074029"
"036428";"Stadtroda";"Kleinbockedra";"16074046"
"036428";"Stadtroda";"Laasdorf";"16074049"
"036428";"Stadtroda";"Meusebach";"16074056"
"036428";"Stadtroda";"Mockern";"16074058"
"036428";"Stadtroda";"Morsdorf";"16074059"
"036428";"Stadtroda";"Quirla";"16074069"
"036428";"Stadtroda";"Rausdorf";"16074074"
"036428";"Stadtroda";"Ruttersdorf-Lotschen";"16074081"
"036428";"Stadtroda";"Schloben";"16074085"
"036428";"Stadtroda";"Schongleina";"16074086"
"036428";"Stadtroda";"Stadtroda, Stadt";"16074094"
"036428";"Stadtroda";"Tissa";"16074101"
"036428";"Stadtroda";"Trobnitz";"16074103"
"036428";"Stadtroda";"Trockenborn-Wolfersdorf";"16074102"
"036428";"Stadtroda";"Waltersdorf";"16074107"
"03643";"Weimar Thur";"Bechstedtstra?";"16071006"
"03643";"Weimar Thur";"Buchfart";"16071009"
"03643";"Weimar Thur";"Daasdorf a. Berge";"16071012"
"03643";"Weimar Thur";"Ettersburg";"16071017"
"03643";"Weimar Thur";"Gro?obringen";"16071023"
"03643";"Weimar Thur";"Heichelheim";"16071028"
"03643";"Weimar Thur";"Hopfgarten";"16071034"
"03643";"Weimar Thur";"Isseroda";"16071036"
"03643";"Weimar Thur";"Kleinobringen";"16071039"
"03643";"Weimar Thur";"Kromsdorf";"16071048"
"03643";"Weimar Thur";"Nohra";"16062039"
"03643";"Weimar Thur";"Sachsenhausen";"16071082"
"03643";"Weimar Thur";"Troistedt";"16071088"
"03643";"Weimar Thur";"Umpferstedt";"16071089"
"03643";"Weimar Thur";"Vollersroda";"16071093"
"03643";"Weimar Thur";"Weimar, Stadt";"16055000"
"03643";"Weimar Thur";"Wohlsborn";"16071097"
"03644";"Apolda";"Apolda, Stadt";"16071001"
"03644";"Apolda";"Flurstedt";"16071018"
"03644";"Apolda";"Mattstedt";"16071054"
"03644";"Apolda";"Niederro?la";"16071063"
"03644";"Apolda";"Obertrebra";"16071069"
"03644";"Apolda";"Pfiffelbach";"16071074"
"03644";"Apolda";"Saaleplatte";"16071099"
"03644";"Apolda";"Wickerstedt";"16071094"
"036450";"Kranichfeld";"Bad Berka, Stadt";"16071003"
"036450";"Kranichfeld";"Hohenfelden";"16071032"
"036450";"Kranichfeld";"Kranichfeld, Stadt";"16071046"
"036450";"Kranichfeld";"Rittersdorf";"16071079"
"036450";"Kranichfeld";"Tonndorf";"16071087"
"036451";"Buttelstedt";"Buttelstedt, Stadt";"16071011"
"036451";"Buttelstedt";"Gro?brembach";"16068016"
"036451";"Buttelstedt";"Krautheim";"16071047"
"036451";"Buttelstedt";"Leutenthal";"16071051"
"036451";"Buttelstedt";"Rohrbach";"16071081"
"036452";"Berlstedt";"Ballstedt";"16071005"
"036452";"Berlstedt";"Berlstedt";"16071007"
"036452";"Berlstedt";"Berlstedt";"16071035"
"036452";"Berlstedt";"Neumark, Stadt";"16071061"
"036452";"Berlstedt";"Ramsla";"16071076"
"036452";"Berlstedt";"Schwerstedt";"16071085"
"036452";"Berlstedt";"Vippachedelhausen";"16071092"
"036453";"Mellingen";"Frankendorf";"16071019"
"036453";"Mellingen";"Hammerstedt";"16071027"
"036453";"Mellingen";"Kiliansroda";"16071038"
"036453";"Mellingen";"Lehnstedt";"16071049"
"036453";"Mellingen";"Mechelroda";"16071055"
"036453";"Mellingen";"Mellingen";"16071056"
"036453";"Mellingen";"Oettern";"16071071"
"036453";"Mellingen";"Weimar, Stadt";"16055000"
"036454";"Magdala";"Blankenhain, Stadt";"16071008"
"036454";"Magdala";"Dobritschen";"16071013"
"036454";"Magdala";"Gro?schwabhausen";"16071025"
"036454";"Magdala";"Kleinschwabhausen";"16071042"
"036454";"Magdala";"Magdala, Stadt";"16071053"
"036458";"Bad Berka";"Bad Berka, Stadt";"16071003"
"036458";"Bad Berka";"Hetschburg";"16071031"
"036459";"Blankenhain Thur";"Blankenhain, Stadt";"16071008"
"036461";"Bad Sulza";"Auerstedt";"16071002"
"036461";"Bad Sulza";"Bad Kosen, Stadt";"15084020"
"036461";"Bad Sulza";"Bad Sulza, Stadt";"16071004"
"036461";"Bad Sulza";"Eberstedt";"16071015"
"036461";"Bad Sulza";"Gro?heringen";"16071022"
"036461";"Bad Sulza";"Niedertrebra";"16071064"
"036461";"Bad Sulza";"Schmiedehausen";"16071083"
"036462";"Ossmannstedt";"Apolda, Stadt";"16071001"
"036462";"Ossmannstedt";"Liebstedt";"16071052"
"036462";"Ossmannstedt";"O?mannstedt";"16071072"
"036462";"Ossmannstedt";"Pfiffelbach";"16071074"
"036462";"Ossmannstedt";"Wiegendorf";"16071095"
"036463";"Gebstedt";"Gebstedt";"16071021"
"036463";"Gebstedt";"Kodderitzsch";"16071044"
"036463";"Gebstedt";"Nirmsdorf";"16071066"
"036463";"Gebstedt";"Rannstedt";"16071077"
"036463";"Gebstedt";"Reisdorf";"16071078"
"036463";"Gebstedt";"Willerstedt";"16071096"
"036464";"Wormstedt";"Saaleplatte";"16071099"
"036465";"Oberndorf b Apolda";"Apolda, Stadt";"16071001"
"03647";"Po?neck";"Bodelwitz";"16075006"
"03647";"Po?neck";"Dobritz";"16075016"
"03647";"Po?neck";"Gertewitz";"16075031"
"03647";"Po?neck";"Krolpa";"16075129"
"03647";"Po?neck";"Langenorla";"16075054"
"03647";"Po?neck";"Nimritz";"16075074"
"03647";"Po?neck";"Oberoppurg";"16075075"
"03647";"Po?neck";"Oppurg";"16075077"
"03647";"Po?neck";"Peuschen";"16075081"
"03647";"Po?neck";"Po?neck, Stadt";"16075085"
"03647";"Po?neck";"Ranis, Stadt";"16075088"
"03647";"Po?neck";"Schmorda";"16075101"
"03647";"Po?neck";"Seisla";"16075103"
"03647";"Po?neck";"Solkwitz";"16075105"
"03647";"Po?neck";"Unterwellenborn";"16073045"
"03647";"Po?neck";"Wernburg";"16075124"
"03647";"Po?neck";"Wilhelmsdorf";"16075125"
"036481";"Neustadt an der Orla";"Breitenhain";"16075007"
"036481";"Neustadt an der Orla";"Dreitzsch";"16075019"
"036481";"Neustadt an der Orla";"Kospoda";"16075051"
"036481";"Neustadt an der Orla";"Lausnitz b. Neustadt an der Orla";"16075056"
"036481";"Neustadt an der Orla";"Linda b. Neustadt an der Orla";"16075061"
"036481";"Neustadt an der Orla";"Neustadt an der Orla, Stadt";"16075073"
"036481";"Neustadt an der Orla";"Pillingsdorf";"16075082"
"036481";"Neustadt an der Orla";"Rosendorf";"16075093"
"036481";"Neustadt an der Orla";"Schmieritz";"16075099"
"036481";"Neustadt an der Orla";"Stanau";"16075106"
"036481";"Neustadt an der Orla";"Weira";"16075121"
"036482";"Triptis";"Braunsdorf";"16076011"
"036482";"Triptis";"Geroda";"16075029"
"036482";"Triptis";"Lemnitz";"16075057"
"036482";"Triptis";"Miesitz";"16075065"
"036482";"Triptis";"Mittelpollnitz";"16075066"
"036482";"Triptis";"Tommelsdorf";"16075114"
"036482";"Triptis";"Triptis, Stadt";"16075116"
"036483";"Ziegenruck";"Crispendorf";"16075013"
"036483";"Ziegenruck";"E?bach";"16075023"
"036483";"Ziegenruck";"Gossitz";"16075035"
"036483";"Ziegenruck";"Keila";"16075047"
"036483";"Ziegenruck";"Moxa";"16075069"
"036483";"Ziegenruck";"Paska";"16075079"
"036483";"Ziegenruck";"Schondorf";"16075102"
"036483";"Ziegenruck";"Ziegenruck, Stadt";"16075127"
"036484";"Knau b Po?neck";"Bucha";"16075008"
"036484";"Knau b Po?neck";"Dreba";"16075018"
"036484";"Knau b Po?neck";"Grobengereuth";"16075039"
"036484";"Knau b Po?neck";"Keila";"16075047"
"036484";"Knau b Po?neck";"Knau";"16075049"
"036484";"Knau b Po?neck";"Peuschen";"16075081"
"036484";"Knau b Po?neck";"Quaschwitz";"16075087"
"036484";"Knau b Po?neck";"Weira";"16075121"
"0365";"Gera";"Brahmenau";"16076008"
"0365";"Gera";"Gera, Stadt";"16052000"
"0365";"Gera";"Hundhaupten";"16076033"
"0365";"Gera";"Kauern";"16076034"
"0365";"Gera";"Kraftsdorf";"16076089"
"0365";"Gera";"Ronneburg, Stadt";"16076061"
"0365";"Gera";"Saara";"16076064"
"0365";"Gera";"Schwaara";"16076067"
"036601";"Hermsdorf Thur";"Bad Klosterlausnitz";"16074003"
"036601";"Hermsdorf Thur";"Bobeck";"16074005"
"036601";"Hermsdorf Thur";"Bollberg";"16074006"
"036601";"Hermsdorf Thur";"Hermsdorf, Stadt";"16074041"
"036601";"Hermsdorf Thur";"Kraftsdorf";"16076089"
"036601";"Hermsdorf Thur";"Reichenbach";"16074075"
"036601";"Hermsdorf Thur";"Schleifreisen";"16074084"
"036601";"Hermsdorf Thur";"Serba";"16074091"
"036601";"Hermsdorf Thur";"St.Gangloff";"16074093"
"036601";"Hermsdorf Thur";"Tautenhain";"16074098"
"036601";"Hermsdorf Thur";"Wei?enborn";"16074109"
"036602";"Ronneburg Thur";"Bethenhausen";"16076006"
"036602";"Ronneburg Thur";"Gera, Stadt";"16052000"
"036602";"Ronneburg Thur";"Gro?enstein";"16076023"
"036602";"Ronneburg Thur";"Hilbersdorf";"16076027"
"036602";"Ronneburg Thur";"Kauern";"16076034"
"036602";"Ronneburg Thur";"Korbu?en";"16076036"
"036602";"Ronneburg Thur";"Linda b. Weida";"16076043"
"036602";"Ronneburg Thur";"Lobichau";"16077026"
"036602";"Ronneburg Thur";"Paitzdorf";"16076055"
"036602";"Ronneburg Thur";"Posterstein";"16077041"
"036602";"Ronneburg Thur";"Reichstadt";"16076059"
"036602";"Ronneburg Thur";"Ronneburg, Stadt";"16076061"
"036602";"Ronneburg Thur";"Ruckersdorf";"16076062"
"036603";"Weida";"Crimla";"16076014"
"036603";"Weida";"Endschutz";"16076017"
"036603";"Weida";"Gera, Stadt";"16052000"
"036603";"Weida";"Harth-Pollnitz";"16076088"
"036603";"Weida";"Hohenolsen";"16076031"
"036603";"Weida";"Schomberg";"16076065"
"036603";"Weida";"Steinsdorf";"16076073"
"036603";"Weida";"Teichwitz";"16076074"
"036603";"Weida";"Weida, Stadt";"16076079"
"036603";"Weida";"Wunschendorf/Elster";"16076084"
"036603";"Weida";"Zedlitz";"16076086"
"036604";"Munchenbernsdorf";"Bocka";"16076007"
"036604";"Munchenbernsdorf";"Harth-Pollnitz";"16076088"
"036604";"Munchenbernsdorf";"Lederhose";"16076042"
"036604";"Munchenbernsdorf";"Lindenkreuz";"16076044"
"036604";"Munchenbernsdorf";"Munchenbernsdorf, Stadt";"16076049"
"036604";"Munchenbernsdorf";"Renthendorf";"16074077"
"036604";"Munchenbernsdorf";"Saara";"16076064"
"036604";"Munchenbernsdorf";"Saara";"16077056"
"036604";"Munchenbernsdorf";"Schwarzbach";"16076068"
"036604";"Munchenbernsdorf";"Tautendorf";"16074097"
"036605";"Bad Kostritz";"Bad Kostritz, Stadt";"16076003"
"036605";"Bad Kostritz";"Caaschwitz";"16076012"
"036605";"Bad Kostritz";"Gera, Stadt";"16052000"
"036605";"Bad Kostritz";"Hartmannsdorf";"16076026"
"036606";"Kraftsdorf";"Bad Klosterlausnitz";"16074003"
"036606";"Kraftsdorf";"Hartmannsdorf";"16076026"
"036606";"Kraftsdorf";"Hermsdorf, Stadt";"16074041"
"036606";"Kraftsdorf";"Kraftsdorf";"16076089"
"036606";"Kraftsdorf";"Reichenbach";"16074075"
"036606";"Kraftsdorf";"St.Gangloff";"16074093"
"036607";"Niederpollnitz";"Harth-Pollnitz";"16076088"
"036607";"Niederpollnitz";"Lederhose";"16076042"
"036608";"Seelingstadt b Gera";"Braunichswalde";"16076009"
"036608";"Seelingstadt b Gera";"Crimmitschau, Stadt";"14193020"
"036608";"Seelingstadt b Gera";"Gauern";"16076019"
"036608";"Seelingstadt b Gera";"Jonaswalde";"16077018"
"036608";"Seelingstadt b Gera";"Langenbernsdorf";"14193190"
"036608";"Seelingstadt b Gera";"Linda b. Weida";"16076043"
"036608";"Seelingstadt b Gera";"Seelingstadt";"16076069"
"03661";"Greiz";"Berga/Elster, Stadt";"16076004"
"03661";"Greiz";"Elsterberg, Stadt";"14178150"
"03661";"Greiz";"Greiz, Stadt";"16076022"
"03661";"Greiz";"Langenwetzendorf";"16076039"
"03661";"Greiz";"Mohlsdorf";"16076047"
"03661";"Greiz";"Neumuhle/Elster";"16076052"
"03661";"Greiz";"Teichwolframsdorf";"16076075"
"036621";"Elsterberg b Plauen";"Elsterberg, Stadt";"14178150"
"036621";"Elsterberg b Plauen";"Greiz, Stadt";"16076022"
"036621";"Elsterberg b Plauen";"Langenwetzendorf";"16076039"
"036621";"Elsterberg b Plauen";"Limbach";"14178320"
"036621";"Elsterberg b Plauen";"Vogtlandisches Oberland";"16076091"
"036622";"Triebes";"Gohren-Dohlen";"16076021"
"036622";"Triebes";"Hohenleuben, Stadt";"16076029"
"036622";"Triebes";"Hohenolsen";"16076031"
"036622";"Triebes";"Lunzig";"16076045"
"036622";"Triebes";"Staitz";"16076072"
"036622";"Triebes";"Steinsdorf";"16076073"
"036622";"Triebes";"Wei?endorf";"16076081"
"036622";"Triebes";"Zeulenroda-Triebes";"16076077"
"036622";"Triebes";"Zeulenroda-Triebes";"16076087"
"036623";"Berga Elster";"Berga/Elster, Stadt";"16076004"
"036623";"Berga Elster";"Hohenolsen";"16076031"
"036623";"Berga Elster";"Teichwolframsdorf";"16076075"
"036623";"Berga Elster";"Wildetaube";"16076083"
"036624";"Teichwolframsdorf";"Mohlsdorf";"16076047"
"036624";"Teichwolframsdorf";"Teichwolframsdorf";"16076075"
"036625";"Langenwetzendorf";"Berga/Elster, Stadt";"16076004"
"036625";"Langenwetzendorf";"Hain";"16076024"
"036625";"Langenwetzendorf";"Kuhdorf";"16076038"
"036625";"Langenwetzendorf";"Langenwetzendorf";"16076039"
"036625";"Langenwetzendorf";"Lunzig";"16076045"
"036625";"Langenwetzendorf";"Neugernsdorf";"16076051"
"036625";"Langenwetzendorf";"Wildetaube";"16076083"
"036626";"Auma";"Auma, Stadt";"16076002"
"036626";"Auma";"Merkendorf";"16076046"
"036626";"Auma";"Wiebelsdorf";"16076082"
"036628";"Zeulenroda";"Langenwolschendorf";"16076041"
"036628";"Zeulenroda";"Silberfeld";"16076071"
"036628";"Zeulenroda";"Vogtlandisches Oberland";"16076091"
"036628";"Zeulenroda";"Zadelsdorf";"16076085"
"036628";"Zeulenroda";"Zeulenroda-Triebes";"16076087"
"03663";"Schleiz";"Burgk";"16075009"
"03663";"Schleiz";"Crispendorf";"16075013"
"03663";"Schleiz";"Gorkwitz";"16075033"
"03663";"Schleiz";"Kirschkau";"16075048"
"03663";"Schleiz";"Lohma";"16075063"
"03663";"Schleiz";"Neundorf (bei Schleiz)";"16075072"
"03663";"Schleiz";"Oettersdorf";"16075076"
"03663";"Schleiz";"Plothen";"16075083"
"03663";"Schleiz";"Pormitz";"16075084"
"03663";"Schleiz";"Schleiz, Stadt";"16075098"
"03663";"Schleiz";"Volkmannsdorf";"16075119"
"036640";"Remptendorf";"Burgk";"16075009"
"036640";"Remptendorf";"Remptendorf";"16075134"
"036640";"Remptendorf";"Saalburg-Ebersdorf, Stadt";"16075135"
"036642";"Harra";"Birkenhugel";"16075002"
"036642";"Harra";"Blankenberg";"16075003"
"036642";"Harra";"Blankenstein";"16075004"
"036642";"Harra";"Harra";"16075042"
"036642";"Harra";"Pottiga";"16075086"
"036642";"Harra";"Schlegel";"16075097"
"036643";"Thimmendorf";"Remptendorf";"16075134"
"036644";"Hirschberg Saale";"Gefell, Stadt";"16075131"
"036644";"Hirschberg Saale";"Hirschberg, Stadt";"16075046"
"036645";"Muhltroff";"Leubnitz";"14178310"
"036645";"Muhltroff";"Mehltheuer";"14178350"
"036645";"Muhltroff";"Muhltroff, Stadt";"14178380"
"036645";"Muhltroff";"Pausa/Vogtl., Stadt";"14178480"
"036645";"Muhltroff";"Schleiz, Stadt";"16075098"
"036645";"Muhltroff";"Tanna, Stadt";"16075132"
"036646";"Tanna  b Schleiz";"Tanna, Stadt";"16075132"
"036647";"Saalburg Thur";"Saalburg-Ebersdorf, Stadt";"16075135"
"036647";"Saalburg Thur";"Schleiz, Stadt";"16075098"
"036648";"Dittersdorf b Schleiz";"Chursdorf";"16075012"
"036648";"Dittersdorf b Schleiz";"Dittersdorf";"16075014"
"036648";"Dittersdorf b Schleiz";"Dragensdorf";"16075017"
"036648";"Dittersdorf b Schleiz";"Goschitz";"16075034"
"036648";"Dittersdorf b Schleiz";"Mo?bach";"16075068"
"036648";"Dittersdorf b Schleiz";"Plothen";"16075083"
"036648";"Dittersdorf b Schleiz";"Tegau";"16075109"
"036649";"Gefell b Schleiz";"Gefell, Stadt";"16075131"
"036649";"Gefell b Schleiz";"Hirschberg, Stadt";"16075046"
"036651";"Lobenstein";"Bad Lobenstein, Stadt";"16075062"
"036651";"Lobenstein";"Harra";"16075042"
"036651";"Lobenstein";"Neundorf (bei Lobenstein)";"16075071"
"036651";"Lobenstein";"Remptendorf";"16075134"
"036651";"Lobenstein";"Saalburg-Ebersdorf, Stadt";"16075135"
"036651";"Lobenstein";"Schlegel";"16075097"
"036652";"Wurzbach";"Lehesten, Stadt";"16073046"
"036652";"Wurzbach";"Remptendorf";"16075134"
"036652";"Wurzbach";"Wurzbach, Stadt";"16075133"
"036653";"Lehesten Thur Wald";"Lehesten, Stadt";"16073046"
"036691";"Eisenberg Thur";"Crossen an der Elster";"16074012"
"036691";"Eisenberg Thur";"Eisenberg, Stadt";"16074018"
"036691";"Eisenberg Thur";"Gosen";"16074025"
"036691";"Eisenberg Thur";"Hainspitz";"16074037"
"036691";"Eisenberg Thur";"Heideland";"16074039"
"036691";"Eisenberg Thur";"Petersberg";"16074067"
"036691";"Eisenberg Thur";"Rauda";"16074072"
"036691";"Eisenberg Thur";"Rauschwitz";"16074073"
"036691";"Eisenberg Thur";"Serba";"16074091"
"036691";"Eisenberg Thur";"Silbitz";"16074092"
"036691";"Eisenberg Thur";"Walpernhain";"16074106"
"036692";"Burgel";"Albersdorf";"16074001"
"036692";"Burgel";"Bobeck";"16074005"
"036692";"Burgel";"Burgel, Stadt";"16074009"
"036692";"Burgel";"Graitschen b. Burgel";"16074028"
"036692";"Burgel";"Nausnitz";"16074061"
"036692";"Burgel";"Poxdorf";"16074068"
"036692";"Burgel";"Rauschwitz";"16074073"
"036692";"Burgel";"Scheiditz";"16074082"
"036692";"Burgel";"Schongleina";"16074086"
"036692";"Burgel";"Serba";"16074091"
"036692";"Burgel";"Waldeck";"16074105"
"036693";"Crossen an der Elster";"Crossen an der Elster";"16074012"
"036693";"Crossen an der Elster";"Hartmannsdorf";"16076026"
"036693";"Crossen an der Elster";"Silbitz";"16074092"
"036693";"Crossen an der Elster";"Wetterzeube";"15084565"
"036694";"Schkolen Thur";"Casekirchen";"15084080"
"036694";"Schkolen Thur";"Goldschau";"15084155"
"036694";"Schkolen Thur";"Heidegrund";"15084215"
"036694";"Schkolen Thur";"Mertendorf";"16074055"
"036694";"Schkolen Thur";"Molau";"15084340"
"036694";"Schkolen Thur";"Schkolen, Stadt";"16074116"
"036694";"Schkolen Thur";"Utenbach";"15084525"
"036695";"Sollmnitz";"Bethenhausen";"16076006"
"036695";"Sollmnitz";"Brahmenau";"16076008"
"036695";"Sollmnitz";"Gera, Stadt";"16052000"
"036695";"Sollmnitz";"Hirschfeld";"16076028"
"036695";"Sollmnitz";"Polzig";"16076058"
"036701";"Lichte";"Grafenthal, Stadt";"16073028"
"036701";"Lichte";"Lichte";"16073049"
"036701";"Lichte";"Meura";"16073055"
"036701";"Lichte";"Piesau";"16073066"
"036701";"Lichte";"Reichmannsdorf";"16073068"
"036701";"Lichte";"Schmiedefeld";"16073079"
"036701";"Lichte";"Schmiedefeld am Rennsteig";"16070046"
"036702";"Lauscha";"Lauscha, Stadt";"16072011"
"036703";"Grafenthal";"Grafenthal, Stadt";"16073028"
"036703";"Grafenthal";"Oberland am Rennsteig";"16072022"
"036703";"Grafenthal";"Reichmannsdorf";"16073068"
"036704";"Steinheid";"Sachsenbrunn";"16069039"
"036704";"Steinheid";"Scheibe-Alsbach";"16072016"
"036704";"Steinheid";"Siegmundsburg";"16072017"
"036704";"Steinheid";"Steinheid";"16072021"
"036705";"Oberwei?bach Thur Wald";"Cursdorf";"16073013"
"036705";"Oberwei?bach Thur Wald";"Deesbach";"16073014"
"036705";"Oberwei?bach Thur Wald";"Lichtenhain/Bergbahn";"16073051"
"036705";"Oberwei?bach Thur Wald";"Mellenbach-Glasbach";"16073054"
"036705";"Oberwei?bach Thur Wald";"Meuselbach-Schwarzmuhle";"16073056"
"036705";"Oberwei?bach Thur Wald";"Oberwei?bach/Thur. Wald, Stadt";"16073065"
"036705";"Oberwei?bach Thur Wald";"Unterwei?bach";"16073094"
"03671";"Saalfeld Saale";"Arnsgereuth";"16073004"
"03671";"Saalfeld Saale";"Kamsdorf";"16073036"
"03671";"Saalfeld Saale";"Kaulsdorf";"16073038"
"03671";"Saalfeld Saale";"Saalfeld/Saale, Stadt";"16073077"
"03671";"Saalfeld Saale";"Saalfelder Hohe";"16073108"
